column_or_source,risk_type,availability,risk_level,modeling_action,reason
TARGET,label_leakage,application_train_only,high,use only as y; exclude from feature matrix,TARGET is the supervised label and is absent from application_test.csv.
SK_ID_CURR,identifier,application_train_and_test,medium,"use only for joins, tracking, and output alignment; exclude from model features",High-cardinality loan ID can let a model memorize sample identity instead of learning risk patterns.
application_train_only_columns,test_unavailable_columns,TARGET,high,exclude all train-only columns from model features,Fields unavailable in application_test.csv cannot be used for deployable prediction.
application_test_only_columns,schema_difference,none,low,review before feature engineering,Test-only columns would need a train-side equivalent or must be ignored.
DAYS_EMPLOYED_ANOMALY,derived_feature,derived from application train/test fields,low,candidate feature; keep as an anomaly/missingness indicator,Formula: 1 if raw DAYS_EMPLOYED == 365243 else 0. Inputs are application-level fields available before decision time.
credit_income_ratio,derived_feature,derived from application train/test fields,low,candidate feature; recompute from application train/test fields before modeling,Formula: AMT_CREDIT / AMT_INCOME_TOTAL. Inputs are application-level fields available before decision time.
annuity_income_ratio,derived_feature,derived from application train/test fields,low,candidate feature; recompute from application train/test fields before modeling,Formula: AMT_ANNUITY / AMT_INCOME_TOTAL. Inputs are application-level fields available before decision time.
goods_credit_ratio,derived_feature,derived from application train/test fields,low,candidate feature; recompute from application train/test fields before modeling,Formula: AMT_GOODS_PRICE / AMT_CREDIT. Inputs are application-level fields available before decision time.
employment_age_ratio,derived_feature,derived from application train/test fields,low,candidate feature; recompute from application train/test fields before modeling,Formula: DAYS_EMPLOYED / DAYS_BIRTH. Inputs are application-level fields available before decision time.
bureau.csv,temporal_leakage_risk,raw auxiliary table,medium,only aggregate historical information available before the current application,"Auxiliary records may include time-relative balances, payments, or statuses; future events must not enter features."
bureau_balance.csv,temporal_leakage_risk,raw auxiliary table,medium,only aggregate historical information available before the current application,"Auxiliary records may include time-relative balances, payments, or statuses; future events must not enter features."
previous_application.csv,temporal_leakage_risk,raw auxiliary table,medium,only aggregate historical information available before the current application,"Auxiliary records may include time-relative balances, payments, or statuses; future events must not enter features."
POS_CASH_balance.csv,temporal_leakage_risk,raw auxiliary table,medium,only aggregate historical information available before the current application,"Auxiliary records may include time-relative balances, payments, or statuses; future events must not enter features."
credit_card_balance.csv,temporal_leakage_risk,raw auxiliary table,medium,only aggregate historical information available before the current application,"Auxiliary records may include time-relative balances, payments, or statuses; future events must not enter features."
installments_payments.csv,temporal_leakage_risk,raw auxiliary table,medium,only aggregate historical information available before the current application,"Auxiliary records may include time-relative balances, payments, or statuses; future events must not enter features."
