column,role,dtype,missing_count,missing_rate,unique_count,source_table,official_description,official_special,is_in_application_train,is_in_application_test,derived_formula,modeling_action
SK_ID_CURR,id,int64,0,0.0,307511,application_{train|test}.csv,ID of loan in our sample,,True,True,,use only for joins/tracking; exclude from model features
TARGET,target,int64,0,0.0,2,application_{train|test}.csv,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)",,True,False,,use as label only; exclude from model features
NAME_CONTRACT_TYPE,feature,str,0,0.0,2,application_{train|test}.csv,Identification if loan is cash or revolving,,True,True,,candidate feature after normal preprocessing and leakage review
CODE_GENDER,feature,str,4,1.3007664766463638e-05,2,application_{train|test}.csv,Gender of the client,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_OWN_CAR,feature,str,0,0.0,2,application_{train|test}.csv,Flag if the client owns a car,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_OWN_REALTY,feature,str,0,0.0,2,application_{train|test}.csv,Flag if client owns a house or flat,,True,True,,candidate feature after normal preprocessing and leakage review
CNT_CHILDREN,feature,int64,0,0.0,15,application_{train|test}.csv,Number of children the client has,,True,True,,candidate feature after normal preprocessing and leakage review
AMT_INCOME_TOTAL,feature,float64,0,0.0,2548,application_{train|test}.csv,Income of the client,,True,True,,candidate feature after normal preprocessing and leakage review
AMT_CREDIT,feature,float64,0,0.0,5603,application_{train|test}.csv,Credit amount of the loan,,True,True,,candidate feature after normal preprocessing and leakage review
AMT_ANNUITY,feature,float64,12,3.9022994299390916e-05,13672,application_{train|test}.csv,Loan annuity,,True,True,,candidate feature after normal preprocessing and leakage review
AMT_GOODS_PRICE,feature,float64,278,0.0009040327012692228,1002,application_{train|test}.csv,For consumer loans it is the price of the goods for which the loan is given,,True,True,,candidate feature after normal preprocessing and leakage review
NAME_TYPE_SUITE,feature,str,1292,0.004201475719567756,7,application_{train|test}.csv,Who was accompanying client when he was applying for the loan,,True,True,,candidate feature after normal preprocessing and leakage review
NAME_INCOME_TYPE,feature,str,0,0.0,8,application_{train|test}.csv,"Clients income type (businessman, working, maternity leave,)",,True,True,,candidate feature after normal preprocessing and leakage review
NAME_EDUCATION_TYPE,feature,str,0,0.0,5,application_{train|test}.csv,Level of highest education the client achieved,,True,True,,candidate feature after normal preprocessing and leakage review
NAME_FAMILY_STATUS,feature,str,0,0.0,6,application_{train|test}.csv,Family status of the client,,True,True,,candidate feature after normal preprocessing and leakage review
NAME_HOUSING_TYPE,feature,str,0,0.0,6,application_{train|test}.csv,"What is the housing situation of the client (renting, living with parents, ...)",,True,True,,candidate feature after normal preprocessing and leakage review
REGION_POPULATION_RELATIVE,feature,float64,0,0.0,81,application_{train|test}.csv,Normalized population of region where client lives (higher number means the client lives in more populated region),normalized ,True,True,,candidate feature after normal preprocessing and leakage review
DAYS_BIRTH,feature,int64,0,0.0,17460,application_{train|test}.csv,Client's age in days at the time of application,time only relative to the application,True,True,,candidate feature after normal preprocessing and leakage review
DAYS_EMPLOYED,feature,float64,55374,0.18007160719453938,12573,application_{train|test}.csv,How many days before the application the person started current employment,time only relative to the application,True,True,,candidate feature after normal preprocessing and leakage review
DAYS_REGISTRATION,feature,float64,0,0.0,15688,application_{train|test}.csv,How many days before the application did client change his registration,time only relative to the application,True,True,,candidate feature after normal preprocessing and leakage review
DAYS_ID_PUBLISH,feature,int64,0,0.0,6168,application_{train|test}.csv,How many days before the application did client change the identity document with which he applied for the loan,time only relative to the application,True,True,,candidate feature after normal preprocessing and leakage review
OWN_CAR_AGE,feature,float64,202929,0.6599081008484249,62,application_{train|test}.csv,Age of client's car,,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_MOBIL,feature,int64,0,0.0,2,application_{train|test}.csv,"Did client provide mobile phone (1=YES, 0=NO)",,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_EMP_PHONE,feature,int64,0,0.0,2,application_{train|test}.csv,"Did client provide work phone (1=YES, 0=NO)",,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_WORK_PHONE,feature,int64,0,0.0,2,application_{train|test}.csv,"Did client provide home phone (1=YES, 0=NO)",,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_CONT_MOBILE,feature,int64,0,0.0,2,application_{train|test}.csv,"Was mobile phone reachable (1=YES, 0=NO)",,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_PHONE,feature,int64,0,0.0,2,application_{train|test}.csv,"Did client provide home phone (1=YES, 0=NO)",,True,True,,candidate feature after normal preprocessing and leakage review
FLAG_EMAIL,feature,int64,0,0.0,2,application_{train|test}.csv,"Did client provide email (1=YES, 0=NO)",,True,True,,candidate feature after normal preprocessing and leakage review
OCCUPATION_TYPE,feature,str,96391,0.31345545362604915,18,application_{train|test}.csv,What kind of occupation does the client have,,True,True,,candidate feature after normal preprocessing and leakage review
CNT_FAM_MEMBERS,feature,float64,2,6.503832383231819e-06,17,application_{train|test}.csv,How many family members does client have,,True,True,,candidate feature after normal preprocessing and leakage review
REGION_RATING_CLIENT,feature,int64,0,0.0,3,application_{train|test}.csv,"Our rating of the region where client lives (1,2,3)",,True,True,,candidate feature after normal preprocessing and leakage review
