model,rank,encoded_feature,original_feature,encoded_category,feature_type,feature_family,importance_gain,importance_split,business_meaning
stage5_lightgbm_smote_gpu,1,NAME_INCOME_TYPE_Working,NAME_INCOME_TYPE,Working,one_hot,categorical_profile,905931.8750061989,141,收入来源类型。
stage5_lightgbm_smote_gpu,2,ext_source_min,ext_source_min,,numeric,external_score,590162.4194135666,510,三个外部信用评分中的最低值，用来捕捉外部评分中的短板信号。
stage5_lightgbm_smote_gpu,3,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_EDUCATION_TYPE,Secondary / secondary special,one_hot,categorical_profile,484726.64105272293,156,教育程度。
stage5_lightgbm_smote_gpu,4,ext_source_mean,ext_source_mean,,numeric,external_score,386464.290368557,712,三个外部信用评分的平均水平，用来概括申请人的综合外部信用质量。
stage5_lightgbm_smote_gpu,5,CODE_GENDER_F,CODE_GENDER,F,one_hot,categorical_profile,263324.5360803604,215,申请人性别。
stage5_lightgbm_smote_gpu,6,CODE_GENDER_M,CODE_GENDER,M,one_hot,categorical_profile,258920.42892074585,254,申请人性别。
stage5_lightgbm_smote_gpu,7,EMERGENCYSTATE_MODE___MISSING__,EMERGENCYSTATE_MODE,__MISSING__,one_hot,other,238095.27434062958,85,居住房屋所在区域的紧急状态标记。
stage5_lightgbm_smote_gpu,8,FLAG_OWN_CAR_N,FLAG_OWN_CAR,N,one_hot,flags_and_contacts,169936.57005882263,182,是否拥有车辆，可能反映资产状况。
stage5_lightgbm_smote_gpu,9,FLAG_DOCUMENT_3,FLAG_DOCUMENT_3,,numeric,flags_and_contacts,169888.72148799896,194,申请材料中的文件提交标记，反映材料完整性。
stage5_lightgbm_smote_gpu,10,EMERGENCYSTATE_MODE_No,EMERGENCYSTATE_MODE,No,one_hot,other,152655.7732143402,47,居住房屋所在区域的紧急状态标记。
stage5_lightgbm_smote_gpu,11,FLAG_OWN_CAR_Y,FLAG_OWN_CAR,Y,one_hot,flags_and_contacts,148617.08236837387,163,是否拥有车辆，可能反映资产状况。
stage5_lightgbm_smote_gpu,12,FLAG_PHONE,FLAG_PHONE,,numeric,flags_and_contacts,141066.78392505646,119,是否提供联系电话，反映联系信息完整度。
stage5_lightgbm_smote_gpu,13,AMT_REQ_CREDIT_BUREAU_YEAR,AMT_REQ_CREDIT_BUREAU_YEAR,,numeric,amount_and_ratio,138050.67880487442,302,申请前一年内的征信查询次数，反映中期信贷申请活跃度。
stage5_lightgbm_smote_gpu,14,REG_CITY_NOT_WORK_CITY,REG_CITY_NOT_WORK_CITY,,numeric,other,131950.9339632988,137,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)"
stage5_lightgbm_smote_gpu,15,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE,Higher education,one_hot,categorical_profile,126785.26805019379,164,教育程度。
stage5_lightgbm_smote_gpu,16,OBS_30_CNT_SOCIAL_CIRCLE,OBS_30_CNT_SOCIAL_CIRCLE,,numeric,other,100062.2608499527,236,How many observation of client's social surroundings with observable 30 DPD (days past due) default
stage5_lightgbm_smote_gpu,17,HOUSETYPE_MODE_block of flats,HOUSETYPE_MODE,block of flats,one_hot,other,87100.64179563522,34,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,18,FONDKAPREMONT_MODE___MISSING__,FONDKAPREMONT_MODE,__MISSING__,one_hot,other,78089.09224748611,73,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,19,FLAG_OWN_REALTY_N,FLAG_OWN_REALTY,N,one_hot,flags_and_contacts,75566.24430465698,68,布尔标记类字段，反映申请材料、联系方式或资产信息是否存在。
stage5_lightgbm_smote_gpu,20,WALLSMATERIAL_MODE___MISSING__,WALLSMATERIAL_MODE,__MISSING__,one_hot,other,74001.55366039276,42,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,21,ORGANIZATION_TYPE_Business Entity Type 3,ORGANIZATION_TYPE,Business Entity Type 3,one_hot,categorical_profile,73752.917470932,159,工作单位/组织类型。
stage5_lightgbm_smote_gpu,22,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE,Laborers,one_hot,categorical_profile,71439.95918130875,105,职业类型。
stage5_lightgbm_smote_gpu,23,REGION_RATING_CLIENT_W_CITY,REGION_RATING_CLIENT_W_CITY,,numeric,other,53743.6167178154,202,结合城市后的客户所在区域评级。
stage5_lightgbm_smote_gpu,24,OBS_60_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,,numeric,other,51414.99076938629,182,How many observation of client's social surroundings with observable 60 DPD (days past due) default
stage5_lightgbm_smote_gpu,25,WALLSMATERIAL_MODE_Panel,WALLSMATERIAL_MODE,Panel,one_hot,other,50599.41858673096,71,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,26,OCCUPATION_TYPE___MISSING__,OCCUPATION_TYPE,__MISSING__,one_hot,categorical_profile,49300.108456134796,51,职业类型。
stage5_lightgbm_smote_gpu,27,FLAG_WORK_PHONE,FLAG_WORK_PHONE,,numeric,flags_and_contacts,43952.262704372406,195,是否提供工作电话，反映可联系性和工作信息完整度。
stage5_lightgbm_smote_gpu,28,FLAG_OWN_REALTY_Y,FLAG_OWN_REALTY,Y,one_hot,flags_and_contacts,42237.108602523804,72,布尔标记类字段，反映申请材料、联系方式或资产信息是否存在。
stage5_lightgbm_smote_gpu,29,DEF_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,,numeric,other,39024.93312168121,239,申请人社交圈中出现 30 天以上逾期的人数，反映周边信用环境。
stage5_lightgbm_smote_gpu,30,ext_source_max,ext_source_max,,numeric,external_score,35858.10208892822,272,三个外部信用评分中的最高值，用来反映申请人最好的一侧外部信用信号。
stage5_lightgbm_smote_gpu,31,ORGANIZATION_TYPE_Self-employed,ORGANIZATION_TYPE,Self-employed,one_hot,categorical_profile,34737.998285532,162,工作单位/组织类型。
stage5_lightgbm_smote_gpu,32,REGION_RATING_CLIENT,REGION_RATING_CLIENT,,numeric,other,34067.88009929657,91,客户所在区域评级。
stage5_lightgbm_smote_gpu,33,"WALLSMATERIAL_MODE_Stone, brick",WALLSMATERIAL_MODE,"Stone, brick",one_hot,other,31560.081312656403,46,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
stage5_lightgbm_smote_gpu,34,OCCUPATION_TYPE_Sales staff,OCCUPATION_TYPE,Sales staff,one_hot,categorical_profile,29274.489958286285,74,职业类型。
stage5_lightgbm_smote_gpu,35,EXT_SOURCE_3,EXT_SOURCE_3,,numeric,external_score,26752.539415836334,507,外部信用评分相关变量，通常反映第三方或外部数据源对申请人风险质量的综合判断。
stage5_lightgbm_smote_gpu,36,annuity_credit_ratio,annuity_credit_ratio,,numeric,amount_and_ratio,26693.247715950012,1012,分期还款额相对授信金额的压力。
stage5_lightgbm_smote_gpu,37,NAME_INCOME_TYPE_Commercial associate,NAME_INCOME_TYPE,Commercial associate,one_hot,categorical_profile,22050.817944526672,51,收入来源类型。
stage5_lightgbm_smote_gpu,38,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_LIVE_CITY,,numeric,other,21487.39811849594,110,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)"
stage5_lightgbm_smote_gpu,39,WEEKDAY_APPR_PROCESS_START_MONDAY,WEEKDAY_APPR_PROCESS_START,MONDAY,one_hot,other,21185.32716679573,69,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,40,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS,Married,one_hot,categorical_profile,18442.418453216553,140,婚姻/家庭状态。
stage5_lightgbm_smote_gpu,41,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_QRT,,numeric,amount_and_ratio,17705.432306289673,142,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application)
stage5_lightgbm_smote_gpu,42,NAME_TYPE_SUITE_Unaccompanied,NAME_TYPE_SUITE,Unaccompanied,one_hot,categorical_profile,15877.205675125122,72,Who was accompanying client when he was applying for the loan
stage5_lightgbm_smote_gpu,43,goods_credit_ratio,goods_credit_ratio,,numeric,amount_and_ratio,14076.566853046417,407,商品价格相对授信金额的比例。
stage5_lightgbm_smote_gpu,44,EXT_SOURCE_2,EXT_SOURCE_2,,numeric,external_score,10256.476065158844,367,外部信用评分相关变量，通常反映第三方或外部数据源对申请人风险质量的综合判断。
stage5_lightgbm_smote_gpu,45,WEEKDAY_APPR_PROCESS_START_FRIDAY,WEEKDAY_APPR_PROCESS_START,FRIDAY,one_hot,other,10130.819538116455,75,贷款申请提交的星期几。
stage5_lightgbm_smote_gpu,46,OCCUPATION_TYPE_Core staff,OCCUPATION_TYPE,Core staff,one_hot,categorical_profile,8788.913184165955,53,职业类型。
stage5_lightgbm_smote_gpu,47,bureau_request_total,bureau_request_total,,numeric,other,8362.870775699615,188,征信查询次数汇总，可能反映近期信贷活跃度。
stage5_lightgbm_smote_gpu,48,DAYS_ID_PUBLISH,DAYS_ID_PUBLISH,,numeric,age_and_tenure,8313.79517364502,440,身份证件签发距申请日的时间。
stage5_lightgbm_smote_gpu,49,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE,House / apartment,one_hot,categorical_profile,8161.588038444519,83,居住情况。
stage5_lightgbm_smote_gpu,50,DEF_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,,numeric,other,7109.484860897064,122,How many observation of client's social surroundings defaulted on 60 (days past due) DPD
