model,rank,encoded_feature,original_feature,encoded_category,feature_type,feature_family,mean_abs_shap,mean_shap,business_meaning
stage5_lightgbm_smote_gpu,1,ext_source_mean,ext_source_mean,,numeric,external_score,0.5003142379382147,-0.0011812380385805405,三个外部信用评分的平均水平，用来概括申请人的综合外部信用质量。
stage5_lightgbm_smote_gpu,2,NAME_INCOME_TYPE_Working,NAME_INCOME_TYPE,Working,one_hot,categorical_profile,0.44886281790804883,-0.44886281790804883,收入来源类型。
stage5_lightgbm_smote_gpu,3,ext_source_min,ext_source_min,,numeric,external_score,0.3022899016292151,0.011919007447691298,三个外部信用评分中的最低值，用来捕捉外部评分中的短板信号。
stage5_lightgbm_smote_gpu,4,CODE_GENDER_M,CODE_GENDER,M,one_hot,categorical_profile,0.28123584085702624,-0.2804547956991516,申请人性别。
stage5_lightgbm_smote_gpu,5,FLAG_WORK_PHONE,FLAG_WORK_PHONE,,numeric,flags_and_contacts,0.243042572217795,-0.243042572217795,是否提供工作电话，反映可联系性和工作信息完整度。
stage5_lightgbm_smote_gpu,6,REGION_RATING_CLIENT_W_CITY,REGION_RATING_CLIENT_W_CITY,,numeric,other,0.20308314991563134,-0.20308314991563134,结合城市后的客户所在区域评级。
stage5_lightgbm_smote_gpu,7,FLAG_OWN_CAR_N,FLAG_OWN_CAR,N,one_hot,flags_and_contacts,0.16941248949047255,-0.16941248949047255,是否拥有车辆，可能反映资产状况。
stage5_lightgbm_smote_gpu,8,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_EDUCATION_TYPE,Secondary / secondary special,one_hot,categorical_profile,0.16681675826862083,-0.16681675826862083,教育程度。
stage5_lightgbm_smote_gpu,9,CODE_GENDER_F,CODE_GENDER,F,one_hot,categorical_profile,0.15002758095545335,-0.1498874365768432,申请人性别。
stage5_lightgbm_smote_gpu,10,AMT_REQ_CREDIT_BUREAU_YEAR,AMT_REQ_CREDIT_BUREAU_YEAR,,numeric,amount_and_ratio,0.14968519222476784,-0.14968519222476784,申请前一年内的征信查询次数，反映中期信贷申请活跃度。
stage5_lightgbm_smote_gpu,11,ORGANIZATION_TYPE_Self-employed,ORGANIZATION_TYPE,Self-employed,one_hot,categorical_profile,0.13891168650692615,-0.13891168650692615,工作单位/组织类型。
stage5_lightgbm_smote_gpu,12,annuity_credit_ratio,annuity_credit_ratio,,numeric,amount_and_ratio,0.13714663013173128,0.0068801269531328126,分期还款额相对授信金额的压力。
stage5_lightgbm_smote_gpu,13,FLAG_OWN_CAR_Y,FLAG_OWN_CAR,Y,one_hot,flags_and_contacts,0.13159321233539478,-0.13159321233539478,是否拥有车辆，可能反映资产状况。
stage5_lightgbm_smote_gpu,14,FLAG_DOCUMENT_3,FLAG_DOCUMENT_3,,numeric,flags_and_contacts,0.12643766073026375,-0.12643766073026375,申请材料中的文件提交标记，反映材料完整性。
stage5_lightgbm_smote_gpu,15,ext_source_max,ext_source_max,,numeric,external_score,0.11818606911638704,0.001369766902185055,三个外部信用评分中的最高值，用来反映申请人最好的一侧外部信用信号。
stage5_lightgbm_smote_gpu,16,ORGANIZATION_TYPE_Business Entity Type 3,ORGANIZATION_TYPE,Business Entity Type 3,one_hot,categorical_profile,0.11809577874386387,-0.11809577874386387,工作单位/组织类型。
stage5_lightgbm_smote_gpu,17,FLAG_PHONE,FLAG_PHONE,,numeric,flags_and_contacts,0.11777402273542308,-0.11777402273542308,是否提供联系电话，反映联系信息完整度。
stage5_lightgbm_smote_gpu,18,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE,Higher education,one_hot,categorical_profile,0.11478392286226202,-0.11478392286226202,教育程度。
stage5_lightgbm_smote_gpu,19,DEF_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,,numeric,other,0.1144522127198019,-0.11408975759920863,申请人社交圈中出现 30 天以上逾期的人数，反映周边信用环境。
